Country,Date,FluAcases
United States,1/1/2009,3766
United States,2/1/2009,8102
United States,3/1/2009,4373
United States,4/1/2009,4094
United States,5/1/2009,15120
United States,6/1/2009,23793
United States,7/1/2009,10890
United States,8/1/2009,10743
United States,9/1/2009,18408
United States,10/1/2009,40842
United States,11/1/2009,19954
United States,12/1/2009,2263
United States,1/1/2010,1579
United States,2/1/2010,1545
United States,3/1/2010,1717
United States,4/1/2010,279
United States,5/1/2010,81
United States,6/1/2010,29
United States,7/1/2010,39
United States,8/1/2010,122
United States,9/1/2010,177
United States,10/1/2010,357
United States,11/1/2010,1252
United States,12/1/2010,4488
United States,1/1/2011,14745
United States,2/1/2011,14347
United States,3/1/2011,4921
United States,4/1/2011,799
United States,5/1/2011,91
United States,6/1/2011,13
United States,7/1/2011,12
United States,8/1/2011,55
United States,9/1/2011,62
United States,10/1/2011,115
United States,11/1/2011,177
United States,12/1/2011,522
United States,1/1/2012,1717
United States,2/1/2012,4855
United States,3/1/2012,7867
United States,4/1/2012,4039
United States,5/1/2012,922
United States,6/1/2012,346
United States,7/1/2012,354
United States,8/1/2012,428
United States,9/1/2012,177
United States,10/1/2012,820
United States,11/1/2012,3521
United States,12/1/2012,22009
United States,1/1/2013,17612
United States,2/1/2013,5076
United States,3/1/2013,1542
United States,4/1/2013,807
United States,5/1/2013,237
United States,6/1/2013,201
United States,7/1/2013,258
United States,8/1/2013,264
United States,9/1/2013,585
United States,10/1/2013,759
United States,11/1/2013,2303
United States,12/1/2013,16488
United States,1/1/2014,14703
United States,2/1/2014,5646
United States,3/1/2014,2745
United States,4/1/2014,1366
United States,5/1/2014,787
United States,6/1/2014,551
United States,7/1/2014,275
United States,8/1/2014,293
United States,9/1/2014,634
United States,10/1/2014,1707
United States,11/1/2014,7933
United States,12/1/2014,48063
United States,1/1/2015,30747
United States,2/1/2015,12297
United States,3/1/2015,3572
United States,4/1/2015,515
United States,5/1/2015,159
United States,6/1/2015,336
United States,7/1/2015,236
United States,8/1/2015,405
United States,9/1/2015,392
United States,10/1/2015,619
United States,11/1/2015,811
United States,12/1/2015,1380
United States,1/1/2016,4545
United States,2/1/2016,24683
United States,3/1/2016,25189
United States,4/1/2016,7208
United States,5/1/2016,1603
United States,6/1/2016,296
United States,7/1/2016,196
United States,8/1/2016,408
United States,9/1/2016,609
United States,10/1/2016,1304
United States,11/1/2016,2487
United States,12/1/2016,12956
United States,1/1/2017,41258
United States,2/1/2017,43409
United States,3/1/2017,17825
United States,4/1/2017,4159
United States,5/1/2017,1399
United States,6/1/2017,648
United States,7/1/2017,621
United States,8/1/2017,572
United States,9/1/2017,1040
United States,10/1/2017,2608
United States,11/1/2017,6716
United States,12/1/2017,37114
United States,1/1/2018,91816
United States,2/1/2018,43959
United States,3/1/2018,10771
United States,4/1/2018,4261
United States,5/1/2018,661
United States,6/1/2018,261
United States,7/1/2018,330
United States,8/1/2018,352
United States,9/1/2018,752
United States,10/1/2018,1912
United States,11/1/2018,4153
United States,12/1/2018,28323
United States,1/1/2019,39160
United States,2/1/2019,66060
United States,3/1/2019,54444
United States,4/1/2019,14798
United States,5/1/2019,1688
United States,6/1/2019,787
United States,7/1/2019,837
United States,8/1/2019,600
United States,9/1/2019,1207
United States,10/1/2019,1376
United States,11/1/2019,4738
United States,12/1/2019,24079
United States,1/1/2020,42972
United States,2/1/2020,59224
United States,3/1/2020,28866
United States,4/1/2020,272
United States,5/1/2020,98
United States,6/1/2020,52
United States,7/1/2020,28
United States,8/1/2020,32
United States,9/1/2020,59
United States,10/1/2020,133
United States,11/1/2020,182
United States,12/1/2020,160
United States,1/1/2021,101
United States,2/1/2021,80
United States,3/1/2021,96
United States,4/1/2021,53
United States,5/1/2021,75
United States,6/1/2021,44
United States,7/1/2021,46
United States,8/1/2021,89
United States,9/1/2021,82
United States,10/1/2021,489
United States,11/1/2021,7346
United States,12/1/2021,29359
United States,1/1/2022,15705
United States,2/1/2022,13122
United States,3/1/2022,22891
United States,4/1/2022,29190
United States,5/1/2022,30019
United States,6/1/2022,6991
United States,7/1/2022,1968
United States,8/1/2022,1734
United States,9/1/2022,3438
United States,10/1/2022,40060
United States,11/1/2022,149607
United States,12/1/2022,151234
United States,1/1/2023,24955
United States,2/1/2023,3947
United States,3/1/2023,2376
United States,4/1/2023,1378
United States,5/1/2023,1341
United States,6/1/2023,1156
United States,7/1/2023,1377
United States,8/1/2023,1168
United States,9/1/2023,1703
United States,10/1/2023,5535
United States,11/1/2023,20126
United States,12/1/2023,75147
